Date,Close/Last,Volume,Open,High,Low
07/05/2022,351.06,6180564,345.48,351.1,342.78
07/01/2022,350.44,7481480,346.16,350.83,343.59
06/30/2022,346.88,7159599,345.88,349.84,342.45
06/29/2022,349.64,3775861,350.43,351.36,347.81
06/28/2022,350.9,8801780,360.08,362.835,350.9
06/27/2022,358.65,4608590,361,361.15,357.57
06/24/2022,360,5458559,352.03,360.02,351.97
06/23/2022,349.13,6708774,347.63,349.61,344.14
06/22/2022,345.5,4876060,342.08,349.51,341.6348
06/21/2022,346.23,5628348,343.19,347.5,343.11
06/17/2022,337.95,7083981,337.31,340.87,334.24
06/16/2022,337.07,8821869,340.48,340.84,334.57
06/15/2022,348.52,7887624,346.82,352.84,341.97
06/14/2022,343.6,7584190,346.37,347.32,340.57
06/13/2022,344.46,10399710,349.11,350.8353,343.06
06/10/2022,358.27,7629693,362.93,363.69,358.23
06/09/2022,369.1,3021979,376.24,378.44,369.02
06/08/2022,377.99,3436443,380.5,382.23,377.26
06/07/2022,382.17,2649857,375.16,382.61,374.71
06/06/2022,378.47,2659482,381.33,382.96,377.41
06/03/2022,377.44,2749538,379.11,380.6,376.48
06/02/2022,383.65,3273721,376.41,383.74,374.2
06/01/2022,376.5,4245818,381.61,382.64,374.1
05/31/2022,379.68,5016514,380.23,382.85,376.92
05/27/2022,381.8,3911790,374.94,381.86,374.8
05/26/2022,372.46,4248253,366.445,374.13,366.27
05/25/2022,365.2,5704600,360.54,367.16,360.27
05/24/2022,362.18,5567301,360.85,363.21,355.7
05/23/2022,364.81,5254915,361.09,365.57,358.85
05/20/2022,358.02,8755856,361.41,361.95,349.76
05/19/2022,357.93,6359477,357.17,362.23,355.85
05/18/2022,360.34,6883570,370.98,371.16,359
05/17/2022,375.2,4513309,373.66,375.56,370.08
05/16/2022,367.84,4719840,367.71,371.35,365.45
05/13/2022,369.16,5377437,364.73,370.58,363.6416
05/12/2022,360.65,7679237,357.835,363.75,354.02
05/11/2022,360.93,8026944,365.97,371.36,360.27
05/10/2022,366.84,7870750,371.9,373.22,362.91
05/09/2022,365.9,10793230,372.36,373.56,364.5
05/06/2022,378.1,7959647,378.01,381.28,372.95
05/05/2022,380.49,10477250,390.22,390.31,376.35
05/04/2022,394.34,7367547,383.35,394.925,380.28
05/03/2022,382.73,5607696,381.62,385.0556,380
05/02/2022,381.08,10737020,378.79,382.27,372.33
04/29/2022,378.7,8221944,389.42,391.45,378
04/28/2022,393.14,7036192,388.23,394.9,383.87
04/27/2022,383.53,6415702,383.5,388.75,381.5
04/26/2022,382.54,8492984,391.4,391.59,382.44
04/25/2022,393.8,8141182,389.42,394.0584,385
04/22/2022,391.66,6326437,401.67,401.885,391.1
04/21/2022,402.65,4670153,412.38,413.68,401.8
04/20/2022,408.71,5067144,410.82,411.39,407.67
04/19/2022,409.02,3841510,402.58,409.77,402.36
04/18/2022,402.59,4305868,401.55,404.22,400.44
04/14/2022,402.52,3735679,407.72,408.78,402.34
04/13/2022,407.47,4358710,402.57,408.2,402.48
04/12/2022,402.92,6615813,407.33,409.71,401.37
04/11/2022,404.4,3342784,408.5,409.0592,403.925
04/08/2022,411.53,4752812,411.85,414.22,409.98
04/07/2022,412.53,4954053,409.6,414.3,407.74
04/06/2022,410.46,5540716,410.76,412.66,407.64
04/05/2022,414.66,4112033,418.56,420.82,413.5
04/04/2022,419.85,5117208,416.45,419.96,415.72
04/01/2022,416.32,4663067,416.68,416.818,412.87
03/31/2022,415.17,5876639,420.97,421.67,415.05
03/30/2022,421.65,4794334,423.26,424.01,419.59
03/29/2022,424.29,5510554,422.96,424.72,420.25
03/28/2022,418.99,3395334,415.5,419.05,413.69
03/25/2022,416.12,3643255,414.79,416.3581,412.205
03/24/2022,414.02,2977317,409.89,414.1,408.81
03/23/2022,409.33,3742563,412.16,413.62,409.29
03/22/2022,414.67,4231715,411.2,415.52,411.2
03/21/2022,409.91,4159492,409.84,411.75,406.43
03/18/2022,409.89,5874983,403.98,410.28,403.24
03/17/2022,405.41,5177527,398.64,405.56,398.3
03/16/2022,400.51,7407331,395.5,400.55,390.55
03/15/2022,391.75,5739361,385.86,392.37,384.63
03/14/2022,383.34,6454976,387.07,390.268,382.25
03/11/2022,386.16,5872799,393.62,394.1899,385.68
03/10/2022,391.15,6394788,388.44,392.01,386.53
03/09/2022,392.9,5812598,390.88,394.85,388.72
03/08/2022,382.7,9356075,385.76,392.74,381.64
03/07/2022,385.61,8411483,396.73,397,385.56
03/04/2022,397.34,6322478,396.93,398.4264,393.37
03/03/2022,400.58,8745268,405.02,405.54,398.88
03/02/2022,402.6,8185168,397.72,404.1,396.78
03/01/2022,395.34,9124412,400.01,401.92,392.79
02/28/2022,401.36,11855940,397.18,402.85,396
02/25/2022,402.37,11665230,394.95,402.52,393.3955
02/24/2022,393.77,21277220,377.76,394.17,377.5
02/23/2022,387.81,12154860,397.74,398.32,387.38
02/22/2022,394.92,10414740,397.05,400.37,391.505
02/18/2022,399.29,10570830,402.15,403.31,397
02/17/2022,401.86,7540991,407.49,407.98,401.23
02/16/2022,410.59,7743764,408.2,411.89,406.32
02/15/2022,410.1,6822294,408.18,410.29,407.46
02/14/2022,403.62,10167580,404.43,405.99,400.24
02/11/2022,404.94,10458590,413.15,415.2,403.57
02/10/2022,413.18,9260462,414.93,420.8,411.14
02/09/2022,420.57,6284459,418.55,420.87,418.345
02/08/2022,414.49,5565685,410.72,415.46,409.35
02/07/2022,411.16,5620912,413.23,414.62,409.9
02/04/2022,412.52,8210024,410.34,416.24,408.06
02/03/2022,410.59,7658271,414.59,416.43,409.79
02/02/2022,420.36,6726476,418.98,421.18,416.54
02/01/2022,416.39,8154891,414.34,417.04,410.9
01/31/2022,413.69,9200435,405.67,413.97,404.35
01/28/2022,406.26,12096810,397.82,406.33,393.3
01/27/2022,396.54,12455230,402.93,405.97,394.82
01/26/2022,398.56,14377350,405.66,408.1954,394.34
01/25/2022,399.46,16836330,398.17,404.26,392.7325
01/24/2022,404.37,22997840,397.26,404.88,386.84
01/21/2022,402.69,16225930,409.71,411.9265,402.66
01/20/2022,410.76,8907603,417.17,421.75,410.29
01/19/2022,415.33,8184106,421.17,422.535,415.07
01/18/2022,419.74,10697980,422.62,424.98,417.33
01/14/2022,427.23,9960814,423.945,427.5799,422.81
01/13/2022,427.1,7521275,434.09,434.72,426.09
01/12/2022,433.07,8270332,433.56,435.04,431.14
01/11/2022,431.78,7282442,427.68,431.95,424.78
01/10/2022,428.03,10481530,425.38,428.19,419.77
01/07/2022,428.59,6157536,430.21,431.36,427.2
01/06/2022,430.08,7971547,430.2,432.83,427.9
01/05/2022,430.66,7539607,438.78,439.41,430.525
01/04/2022,439.07,6262237,440.58,441.26,437.22
01/03/2022,439.25,6017303,437.93,439.27,435.64
12/31/2021,436.57,5185608,437.23,438.38,436.39
12/30/2021,437.77,3751831,439.39,440.36,437.32
12/29/2021,439.01,4596686,438.5,439.95,437.54
12/28/2021,438.48,4865844,439.28,440.19,437.655
12/27/2021,438.81,4986317,433.98,438.82,433.95
12/23/2021,432.64,5032684,430.91,434.0963,430.87
12/22/2021,429.99,4992213,425.45,430.09,425.32
12/21/2021,425.69,6916663,421.65,425.85,419.52
12/20/2021,419.8,9903413,419.39,420.22,416.3
12/17/2021,424.39,8883451,425.85,428.79,422.67
12/16/2021,428.84,7159519,434.56,434.8,427.35
12/15/2021,432.75,6871253,426.11,432.98,423.67
12/14/2021,426.09,6522926,425.8,428.24,423.2
12/13/2021,429.01,5923878,432.36,432.66,428.75
12/10/2021,432.85,6238301,431.44,432.96,428.95
12/09/2021,428.76,5035427,430.46,431.32,428.61
12/08/2021,431.7,4476542,430.95,432.14,429.24
12/07/2021,430.49,4731920,426.98,431.1,426.94
12/06/2021,421.82,7289493,419.41,423.66,417
12/03/2021,416.84,10228930,422.12,423.19,412.77
12/02/2021,420.56,10417670,414.42,422.06,414.03
12/01/2021,414.24,8370491,424.47,427.2212,413.97
11/30/2021,419.06,8657643,424.8,426.63,418.63
11/29/2021,427.24,6300761,426.71,428.98,424.55
11/26/2021,422.14,7702478,425.19,426.52,420.9
11/24/2021,431.53,4569588,428.56,431.75,427.71
11/23/2021,430.47,6801311,429.57,431.29,427.04
11/22/2021,429.91,4875928,432.93,435.41,429.72
11/19/2021,431.05,4886525,431.87,432.99,430.3798
11/18/2021,431.86,4736823,431.44,432.17,428.8
11/17/2021,430.37,3764856,431.24,431.39,429.84
11/16/2021,431.41,3266998,429.52,432.59,429.4721
11/15/2021,429.77,3122286,430.95,431.005,428.65
